division,category,Gene Symbol,Gene Name,Synonyms,MGI_IDs,MGI_IDs Links,UniProt_IDs,Refseq_IDs,Notes
Core matrisome,Proteoglycans,Prg2,"proteoglycan 2, bone marrow",MBP|MGC130327|mMBP|mMBP-1,MGI:103294,MGI:103294,Q545D8:Q61878,NP_032946.1:NP_032946.1,
Core matrisome,Proteoglycans,Prg3,proteoglycan 3,MBP2|MBPH|MGC129482|MGC129483,MGI:1858200,MGI:1858200,Q9JL95,NP_058610.1:XP_006499964.1,
Core matrisome,Proteoglycans,Prg4,"proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein)",CACP|DOL54|JCAP|MGC161183|MSF|SZP|lubricin,MGI:1891344,MGI:1891344,A1L3C5:E0CXA1:E0CY90:E0CZ58:E9QQ17:E9QQ18:Q9JM99,NP_067375.3:NP_001103616.1,
Core matrisome,Proteoglycans,Spock1,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 1",Spock|Ticn1|testican,MGI:105371,MGI:105371,B2RXY1:Q3UYI3:Q3V355:Q62288:Q6DIC9:Q8BKQ3:Q8BM07:Q8BM19,NP_001159938.1:NP_033288.2:NP_001159935.1:NP_001159936.1:NP_001159937.1:NP_001159936.1:NP_001159937.1,
Core matrisome,Proteoglycans,Spock2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2",AA407235|Gcap26|mKIAA0275,MGI:1891351,MGI:1891351,F6SLR4:Q6PAN0:Q80U51:Q9ER58,NP_443720.1,
Core matrisome,Proteoglycans,Spock3,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3",2900045C01Rik|AI428471|KIAA4039|mKIAA4039,MGI:1920152,MGI:1920152,Q3TPI9:Q3US75:Q571A9:Q8BKV0,NP_076178.1:NP_001239549.1:NP_001239550.1:NP_076178.1:XP_006509581.1,
Core matrisome,Proteoglycans,Srgn,serglycin,Prg|Prg1|Sgc,MGI:97756,MGI:97756,E0CYA5:E0CZH1:P13609,NP_035287.1:XP_006513438.1:XP_006513439.1:XP_006513440.1,
Core matrisome,Proteoglycans,Vcan,versican,5430420N07Rik|9430051N09|Cspg2|DPEAAE|NG2|PG-M|PG-,MGI:102889,MGI:102889,E0CZC0:E9PYH0:E9QMK2:E9QMK3:F7B603:F7B6F7:G3XA35:Q05CR7:Q3TNR6:Q3TQ47:Q3TTS3:Q3UXS4:Q4VA91:Q62059:Q8BS97:Q8C9U7,NP_001074718.1:XP_006517139.1:NP_001127946.1:XP_006517142.1:NP_001127947.1:NP_062262.2:XP_006517140.1:NP_766543.1,
Matrisome-associated,ECM-affiliated Proteins,Anxa1,annexin A1,Anx-1|Anx-A1|C430014K04Rik|Lpc-1|Lpc1,MGI:96819,MGI:96819,B7STB7:P10107:Q3U5N9:Q3US43:Q4FJV4:Q4FK88,NP_034860.2:NP_034860.2,Annexin
Matrisome-associated,ECM-affiliated Proteins,Anxa10,annexin A10,MGC159022,MGI:1347090,MGI:1347090,Q3V2F1:Q9D272:Q9QZ10,NP_001129561.1:NP_036052.2:NP_036052.2:NP_001129561.1,Annexin
Matrisome-associated,ECM-affiliated Proteins,Anxa11,annexin A11,A830099O17Rik|Anx11,MGI:108481,MGI:108481,D3Z7U0:P97384,NP_038497.2:XP_006518514.1,Annexin
Matrisome-associated,ECM-affiliated Proteins,Anxa13,annexin A13,1810034H17Rik|AV055219,MGI:1917037,MGI:1917037,F6ZSM3:Q99JG3:Q9CVK5,NP_081487.1,Annexin
Matrisome-associated,ECM-affiliated Proteins,Anxa2,annexin A2,AW215814|Cal1h,MGI:88246,MGI:88246,B0V2N5:B0V2N7:B0V2N8:P07356:Q3UCD3:Q542G9:Q99KH3:Q9CZI7,NP_031611.1:XP_006510859.1:NP_031611.1:XP_006510859.1,Annexin
Matrisome-associated,ECM-affiliated Proteins,Anxa3,annexin A3,Anx3,MGI:1201378,MGI:1201378,O35639:Q3TET3:Q3TFK4:Q3TLP4:Q3U737:Q8C1X9,NP_038498.2:XP_006534797.1,Annexin
Matrisome-associated,ECM-affiliated Proteins,Anxa4,annexin A4,AI265406|AIV|AW106930|Anx4|Xanx-4,MGI:88030,MGI:88030,D3Z0S1:F7ANV6:P97429:Q7TMN7:Q8BSL2:Q9R0V2:S4R1F2,NP_038499.2:XP_006505460.1:XP_006505461.1:XP_006505462.1,Annexin
Matrisome-associated,ECM-affiliated Proteins,Anxa5,annexin A5,Anx5|R74653,MGI:106008,MGI:106008,P48036,NP_033803.1:XP_006535439.1,Annexin
Matrisome-associated,ECM-affiliated Proteins,Anxa6,annexin A6,AW107198|Anx6|AnxVI|Cabm|Camb,MGI:88255,MGI:88255,F8WIT2:P14824:Q3TT26:Q3TUI1:Q3UDK4:Q3UI56:Q8CEX0:Q99JX6,NP_001103681.1:NP_001103681.1:NP_038500.2:NP_001103681.1:NP_001103681.1:NP_038500.2,Annexin
Matrisome-associated,ECM-affiliated Proteins,Anxa7,annexin A7,AI265384|AI316497|Anx7|synexin,MGI:88031,MGI:88031,Q07076:Q3TJ49:Q3UYL7:Q8BP75:Q8CCV9:Q922A2,NP_001104264.1:NP_033804.2:NP_001104264.1:NP_033804.2:NP_033804.2,Annexin
Matrisome-associated,ECM-affiliated Proteins,Anxa8,annexin A8,AI466995|Anx8|MGC40628,MGI:1201374,MGI:1201374,O35640:Q921D0,NP_001268774.1:NP_038501.2:NP_001268774.1,Annexin
Matrisome-associated,ECM-affiliated Proteins,Anxa9,annexin A9,1110003P15Rik|2310069F17Rik,MGI:1923711,MGI:1923711,D3Z1V0:Q9JHQ0,NP_001078852.1:NP_076117.2,Annexin
Matrisome-associated,ECM-affiliated Proteins,C1qa,"complement component 1, q subcomponent, alpha polypeptide",AI255395|C1q,MGI:88223,MGI:88223,P98086:Q3TXB1:Q3UBX7,NP_031598.2,
Matrisome-associated,ECM-affiliated Proteins,C1qb,"complement component 1, q subcomponent, beta polypeptide",-,MGI:88224,MGI:88224,P14106:Q3U6I5:Q3US82,NP_033907.1,
Matrisome-associated,ECM-affiliated Proteins,C1qc,"complement component 1, q subcomponent, C chain",AI385742|C1qg|Ciqc,MGI:88225 ,MGI:88225 ,Q02105,NP_031600.2,
Matrisome-associated,ECM-affiliated Proteins,C1ql1,"complement component 1, q subcomponent-like 1",C1qrf|CRF|gliacolin,MGI:1344400,MGI:1344400,O88992:Q0VF50:Q8R1Z2,NP_035925.2:NP_035925.2:NP_035925.2,
Matrisome-associated,ECM-affiliated Proteins,C1ql2,"complement component 1, q subcomponent-like 2",BC040774|CTRP10|MGC49730,MGI:3032521,MGI:3032521,Q8CFR0,NP_997116.1,
Matrisome-associated,ECM-affiliated Proteins,C1ql3,C1q-like 3,1110065A22Rik|AI661623|C1ql|C1qtnf13|K100,MGI:2387350,MGI:2387350,Q9ESN4,NP_694795.1,
Matrisome-associated,ECM-affiliated Proteins,C1ql4,"complement component 1, q subcomponent-like 4",C1qtnf11,MGI:3579909,MGI:3579909,Q4ZJM9,NP_001019873.1:XP_006521038.1,
Matrisome-associated,ECM-affiliated Proteins,C1qtnf1,C1q and tumor necrosis factor related protein 1,1600017K21Rik|CTRP1|Zsig37,MGI:1919254,MGI:1919254,A2A4W1:A2A4W2:Q8R1P2:Q9QXP7,NP_001191058.1:NP_001191059.1:NP_064343.1:XP_006533884.1:XP_006533885.1,
Matrisome-associated,ECM-affiliated Proteins,C1qtnf2,C1q and tumor necrosis factor related protein 2,1810033K05Rik|CTRP2,MGI:1916433,MGI:1916433,G3UXA9:G3V001:Q9D8U4,NP_081255.1:XP_006534172.1,
Matrisome-associated,ECM-affiliated Proteins,C1qtnf3,C1q and tumor necrosis factor related protein 3,2310005P21Rik|AI315029|CORS-26|CTRP3|Corcs|Cors,MGI:1932136,MGI:1932136,D3YZ61:Q4ZJN6:Q9ES30,NP_001191063.1:NP_112150.1:NP_112150.1,
Matrisome-associated,ECM-affiliated Proteins,C1qtnf4,C1q and tumor necrosis factor related protein 4,0710001E10Rik|9430004J15Rik|CTRP4,MGI:1914695,MGI:1914695,Q8R066,NP_080437.2:XP_006500142.1:XP_006500143.1,
Matrisome-associated,ECM-affiliated Proteins,C1qtnf5,C1q and tumor necrosis factor related protein 5,CTRP5,MGI:2385958,MGI:2385958,D3YUN6:F8WHS3:Q8K479,NP_001035721.1:NP_001035722.1:NP_001177242.1:NP_001177248.1:NP_663588.2,
Matrisome-associated,ECM-affiliated Proteins,C1qtnf6,C1q and tumor necrosis factor related protein 6,2810036M19Rik|AI415568|AW743441|CTRP6,MGI:1919959,MGI:1919959,Q6IR41:Q8R150,NP_082607.3:XP_006521519.1,
Matrisome-associated,ECM-affiliated Proteins,C1qtnf7,C1q and tumor necrosis factor related protein 7,5530401N20Rik|8430425G24Rik|Ctrp7,MGI:1925911,MGI:1925911,D3YZZ1:E9PVG1:Q5BKS0:Q8BVD7,NP_001128644.1:NP_001128644.1:NP_780634.2:XP_006503728.1:XP_006503729.1:XP_006503730.1:NP_001128644.1:NP_780634.2:XP_006503728.1:XP_006503729.1:XP_006503730.1,
Matrisome-associated,ECM-affiliated Proteins,C1qtnf9,C1q and tumor necrosis factor related protein 9,9130217G22Rik|CTRP9|Ciqtnf9,MGI:3045252,MGI:3045252,Q4ZJN1,NP_898998.2:XP_006519046.1:XP_006519047.1,
Matrisome-associated,ECM-affiliated Proteins,Cd209a,CD209a antigen,CD209|CDSIGN|CIRE|DC-SIGN|DC-SIGN1|Dcsign|MGC13044,MGI:2157942,MGI:2157942,Q2TA59:Q91ZX1,NP_573501.1,
Matrisome-associated,ECM-affiliated Proteins,Cd209b,CD209b antigen,1810030I22Rik|OtB7|SIGNR1|mSIGNR1,MGI:1916415,MGI:1916415,Q3UTX5:Q8CJ85:Q8CJ91,NP_001032889.3:NP_001274140.1:NP_081248.4:NP_001032889.3:NP_001274140.1:NP_081248.4:NP_001032889.3:NP_001274140.1:NP_081248.4,
Matrisome-associated,ECM-affiliated Proteins,Cd209d,CD209d antigen,SIGN-R3|SIGNR3|mSIGNR3,MGI:2157947,MGI:2157947,Q3UW57:Q91ZW8,NP_570974.1:NP_570974.1,
Matrisome-associated,ECM-affiliated Proteins,Clc,Charcot-Leyden crystal protein,Clcp,MGI:891997,MGI:891997,P97400,AAB41694,
Matrisome-associated,ECM-affiliated Proteins,Clec10a,"C-type lectin domain family 10, member A",CD301a|Mgl|Mgl1,MGI:96975,MGI:96975,A2CF63:A2CF65:B1AU01:B1AU03:F8WHB7:J3QPR7:P49300:Q3TCD3,NP_001191181.1:NP_034926.1,
Matrisome-associated,ECM-affiliated Proteins,Clec11a,"C-type lectin domain family 11, member a",AW457320|Clecsf3|Scgf,MGI:1298219,MGI:1298219,O88200,NP_033157.1,
Matrisome-associated,ECM-affiliated Proteins,Clec12a,"C-type lectin domain family 12, member a",CLL-1|D230024O04|Micl,MGI:3040968,MGI:3040968,D3YXD8:Q504P2,NP_808354.1,
Matrisome-associated,ECM-affiliated Proteins,Clec12b,"C-type lectin domain family 12, member B",4933425B16Rik,MGI:1918433,MGI:1918433,Q149M0,NP_001191152.1:NP_081985.1:XP_006506675.1,
Matrisome-associated,ECM-affiliated Proteins,Clec14a,"C-type lectin domain family 14, member a",1200003C23Rik|AI642649,MGI:1914114,MGI:1914114,Q8VCP9,NP_080085.3,
Matrisome-associated,ECM-affiliated Proteins,Clec18a,"C-type lectin domain family 18, member A",Mrcl,MGI:2672935,MGI:2672935,Q7TSQ1,XP_006531206.1,
Matrisome-associated,ECM-affiliated Proteins,Clec1a,"C-type lectin domain family 1, member a",5930406N14Rik,MGI:2444151,MGI:2444151,Q8BWY2:Q8BZ31,NP_780735.2,
Matrisome-associated,ECM-affiliated Proteins,Clec1b,"C-type lectin domain family 1, member b",1810061I13Rik|AI465458|Clec-2|Clec2|mCLEC-2,MGI:1913287,MGI:1913287,A0T1G3:Q9JL99,NP_001191182.1:NP_001191168.1:NP_064369.1,
Matrisome-associated,ECM-affiliated Proteins,Clec2d,"C-type lectin domain family 2, member d",Clr-b|Clrb|MGC123478|Ocil,MGI:2135589,MGI:2135589,F5BFH0:Q91V08,NP_444339.1:NP_444339.1,
Matrisome-associated,ECM-affiliated Proteins,Clec2e,"C-type lectin domain family 2, member e",Clra,MGI:3028921,MGI:3028921,H7BWZ4:Q80XD9,NP_705726.3,
Matrisome-associated,ECM-affiliated Proteins,Clec2g,"C-type lectin domain family 2, member g",4632413B12Rik|Ddv10|MGC144756|Ocilrp1,MGI:1918059,MGI:1918059,F5CSM6:F5CSM7:Q9D676,NP_001161696.1:NP_001161695.1:NP_001161696.1:NP_081838.1,
Matrisome-associated,ECM-affiliated Proteins,Clec2h,"C-type lectin domain family 2, member h",Clrf,MGI:2136934,MGI:2136934,F5BFG9:G4WMY0:Q8C1T8,NP_444395.2,
Matrisome-associated,ECM-affiliated Proteins,Clec2i,"C-type lectin domain family 2, member i",Clr-g|Clrg|Dcl1|LCL-1|OCILrP2,MGI:2136650,MGI:2136650,B2RTA4:B7ZP15:E0CX52:G4WMY3:Q9WVF9,NP_064653.1:NP_001276636.1:NP_001276635.1:NP_001276635.1:NP_001276636.1:NP_001276637.1:NP_064653.1,
Matrisome-associated,ECM-affiliated Proteins,Clec2j,"C-type lectin domain family 2, member J",Clrh|EG667622|Gm16457,MGI:3647940,MGI:3647940,F7ASN1,XP_006544140.1,
Matrisome-associated,ECM-affiliated Proteins,Clec2l,"C-type lectin domain family, member L",AI414054|AW122724|Gm1064,MGI:2141402,MGI:2141402,P0C7M9,NP_001094977.1,
Matrisome-associated,ECM-affiliated Proteins,Clec3a,"C-type lectin domain family 3, member a",Clecsf1|Gm796,MGI:2685642,MGI:2685642,B2RVD1:Q9EPW4,NP_001007224.1:NP_001007224.1,
Matrisome-associated,ECM-affiliated Proteins,Clec3b,"C-type lectin domain family 3, member b",Tna,MGI:104540,MGI:104540,P43025:Q8CFZ6,NP_035736.2,
Matrisome-associated,ECM-affiliated Proteins,Clec4a1,"C-type lectin domain family 4, member a1",BC049354|Dcir4|MGC56880|mDcir4,MGI:3036291,MGI:3036291,Q80UI7,NP_955015.1,
Matrisome-associated,ECM-affiliated Proteins,Clec4a2,"C-type lectin domain family 4, member a2",Clec4a|Clecsf6|DCIR|Dcir1,MGI:1349412,MGI:1349412,C6EQI8:E0CY25:E0CYQ6:Q8C1G3:Q923C7:Q9QZ15,XP_006506218.1:NP_001163804.1:NP_001163803.1:NP_001163804.1:NP_036129.1,
Matrisome-associated,ECM-affiliated Proteins,Clec4a3,"C-type lectin domain family 4, member a3",3110037K17Rik|Dcir3|mDcir3,MGI:1920399,MGI:1920399,Q8JZX6,NP_001191170.1:NP_694877.2,
Matrisome-associated,ECM-affiliated Proteins,Clec4a4,"C-type lectin domain family 4, member a4",Dcir2|MGC129456|MGC129457,MGI:3624119,MGI:3624119,Q5YIR8,NP_001005860.1,
Matrisome-associated,ECM-affiliated Proteins,Clec4b1,"C-type lectin domain family 4, member b1",1810046I24Rik|Aplra2|Clec4b|DCAR|DCARbeta|mDcar2,MGI:1917060,MGI:1917060,Q7TS58:Q9D8Q7,NP_001177239.1:NP_081494.1,
Matrisome-associated,ECM-affiliated Proteins,Clec4b2,"C-type lectin domain family 4, member b2",Aplra1|F830043G12Rik|mDCAR1,MGI:3588267,MGI:3588267,Q67DU8,NP_001004159.1,
Matrisome-associated,ECM-affiliated Proteins,Clec4d,"C-type lectin domain family 4, member d",Clecsf8|MGC117678|Mpcl|mcl,MGI:1298389,MGI:1298389,Q3UBK0:Q4KL29:Q9Z2H6,NP_001156633.1:NP_034949.3:NP_001156633.1:NP_034949.3,
Matrisome-associated,ECM-affiliated Proteins,Clec4e,"C-type lectin domain family 4, member e",C86253|Clecsf9|Mincle,MGI:1861232,MGI:1861232,H3BJQ5:H3BL75:Q3U271:Q4FK29:Q9R0Q8,NP_064332.1:NP_064332.1,
Matrisome-associated,ECM-affiliated Proteins,Clec4f,"C-type lectin domain family 4, member f",Clecsf13|D18063|KUCR_MOUSE|Kclr,MGI:1859834,MGI:1859834,P70194,NP_058031.2,
Matrisome-associated,ECM-affiliated Proteins,Clec4g,"C-type lectin domain family 4, member g",4930572L20Rik,MGI:1923113,MGI:1923113,F6T066:Q8BNX1,NP_083741.1,
Matrisome-associated,ECM-affiliated Proteins,Clec4n,"C-type lectin domain family 4, member n",Clec6a|Clecsf10|Nkcl,MGI:1861231,MGI:1861231,D6RJL3:Q3U3M9:Q3V2N1:Q9JKF4,NP_001177249.1:NP_064385.1:NP_001177250.1:NP_064385.1,
Matrisome-associated,ECM-affiliated Proteins,Clec5a,"C-type lectin domain family 5, member a",Clecsf5|Ly100|MDL-1|MGC129446|MGC129447|Mdl1,MGI:1345151,MGI:1345151,Q9R007,NP_001033693.1:NP_067339.1,
Matrisome-associated,ECM-affiliated Proteins,Clec7a,"C-type lectin domain family 7, member a",BGR|Clecsf12|beta-GR,MGI:1861431,MGI:1861431,Q6QLQ4:V9GXI5,NP_064392.2,
Matrisome-associated,ECM-affiliated Proteins,Clec9a,"C-type lectin domain family 9, member a",9830005G06Rik|DNGR-1,MGI:2444608,MGI:2444608,Q8BRU4,NP_001192292.1:NP_001192293.1:NP_001192294.1:NP_766320.2,
Matrisome-associated,ECM-affiliated Proteins,Colec10,collectin sub-family member 10,CL-L1|MGC123727|MGC123950|MGC123951,MGI:3606482,MGI:3606482,Q8CF98,NP_775598.2,
Matrisome-associated,ECM-affiliated Proteins,Colec11,collectin sub-family member 11,1010001H16Rik|MGC129470|MGC129471,MGI:1918943,MGI:1918943,Q3SXB8,NP_082142.1,
Matrisome-associated,ECM-affiliated Proteins,Colec12,collectin sub-family member 12,CL-P1|SRCL|Scara4,MGI:2152907,MGI:2152907,Q8K4Q8,NP_569716.2,
Matrisome-associated,ECM-affiliated Proteins,Cspg4,chondroitin sulfate proteoglycan 4,4732461B14Rik|AN2|NG2,MGI:2153093,MGI:2153093,Q09J74:Q3URZ9:Q8VHY0,NP_620570.2:NP_620570.2,
Matrisome-associated,ECM-affiliated Proteins,Cspg5,chondroitin sulfate proteoglycan 5,AI604859|Caleb|Ngc,MGI:1352747,MGI:1352747,Q71M36,NP_001159745.1:NP_038912.3,
Matrisome-associated,ECM-affiliated Proteins,Elfn1,"leucine rich repeat and fibronectin type III, extracellular 1",A930017N06Rik|AI197272,MGI:2442479,MGI:2442479,Q8BRK3:Q8C8T7,NP_780731.1:XP_006504764.1:XP_006504765.1:XP_006504766.1:XP_006504767.1:XP_006504768.1,
Matrisome-associated,ECM-affiliated Proteins,Elfn2,"leucine rich repeat and fibronectin type III, extracellular 2",6330514E13|AW048948|BC094219|Lrrc62,MGI:3608416,MGI:3608416,Q68FM6,NP_898964.2:XP_006520741.1,
Matrisome-associated,ECM-affiliated Proteins,Emcn,endomucin,0610012K22Rik|AI315669|Muc14,MGI:1891716,MGI:1891716,Q3UKX4:Q9R0H2,NP_001156994.1:NP_058581.2:XP_006501905.1,
Matrisome-associated,ECM-affiliated Proteins,Fcna,ficolin A,Fcn1,MGI:1340905,MGI:1340905,O70165:Q2WFW2:Q4FJM1,NP_032021.1:XP_006497736.1:XP_006497737.1:NP_032021.1:XP_006497736.1:XP_006497737.1,
Matrisome-associated,ECM-affiliated Proteins,Fcnb,ficolin B,Fcn2|MGC130137|MGC130138,MGI:1341158,MGI:1341158,B2FDG6:O70497:Q3U9R5,NP_034320.1,
Matrisome-associated,ECM-affiliated Proteins,Frem1,Fras1 related extracellular matrix protein 1,BC037594|D430009N09|D630008K06|heb|qbrick,MGI:2670972,MGI:2670972,A2ADN1:E9Q5Z7:F7D5I3:Q684R7,NP_001185740.1:XP_006538076.1:XP_006538077.1:XP_006538078.1:XP_006538079.1:NP_001185740.1:NP_808531.2:XP_006538076.1:XP_006538077.1:XP_006538078.1:XP_006538079.1,
Matrisome-associated,ECM-affiliated Proteins,Frem2,Fras1 related extracellular matrix protein 2,6030440P17Rik|8430406N05Rik|Gm409|my|nv1,MGI:2444465,MGI:2444465,Q1XGY5:Q6NVD0,NP_766450.2,
Matrisome-associated,ECM-affiliated Proteins,Frem3,Fras1 related extracellular matrix protein 3,Gm795|NV2,MGI:2685641,MGI:2685641,F8WHZ0:Q5H8B9,NP_001161370.1,
Matrisome-associated,ECM-affiliated Proteins,Gm7534,predicted gene 7534,EG665186,MGI:3702974,MGI:3702974,Q3UU21,NP_001074181.1,
Matrisome-associated,ECM-affiliated Proteins,Gm9573,predicted gene 9573,Muc21,MGI:3779983,MGI:3779983,A8QW50:D9N008:F7C950,NP_001231583.1,
Matrisome-associated,ECM-affiliated Proteins,Gpc1,glypican 1,AI462976,MGI:1194891,MGI:1194891,Q3U379:Q3U3U3:Q8CD04:Q9QZF2,NP_057905.1:NP_057905.1,Glypican
Matrisome-associated,ECM-affiliated Proteins,Gpc2,glypican 2 (cerebroglycan),2410016G05Rik|MGC90563,MGI:1919201,MGI:1919201,A1A5C0:E0CXM8:F8WHY9:M0QWK4:Q3TU56:Q8BKV1,NP_766000.1,Glypican
Matrisome-associated,ECM-affiliated Proteins,Gpc3,glypican 3,OCI-5,MGI:104903,MGI:104903,B1ATR5:Q3TWB2:Q3TX35:Q8CFZ4:Q9QZF1,NP_057906.2:NP_057906.2,Glypican
Matrisome-associated,ECM-affiliated Proteins,Gpc4,glypican 4,9530073D23Rik|AF311610|AI385680|AI661372|K-glypica,MGI:104902,MGI:104902,P51655,NP_032176.2,Glypican
Matrisome-associated,ECM-affiliated Proteins,Gpc5,glypican 5,A230034F01Rik,MGI:1194894,MGI:1194894,H3BJQ8:H3BLN8:O70206:Q8BNB0:Q8CAL5,XP_006518385.1:NP_780709.1,Glypican
Matrisome-associated,ECM-affiliated Proteins,Gpc6,glypican 6,6720429C22Rik|AI480529|MGC32221,MGI:1346322,MGI:1346322,Q3TP69:Q3V1C9:Q8BSI4:Q8R3X6:Q9R087,NP_001073313.1:NP_035951.1:NP_035951.1:NP_001073313.1:NP_035951.1,Glypican
Matrisome-associated,ECM-affiliated Proteins,Grem1,gremlin 1,Cktsf1b1|Drm|ld,MGI:1344337,MGI:1344337,O70326:Q3TNY7:Q3UY25,NP_035954.1:NP_035954.1:XP_006499507.1,
Matrisome-associated,ECM-affiliated Proteins,Grifin,galectin-related inter-fiber protein,E130101O17Rik|MGC130284|MGC130311,MGI:1925248,MGI:1925248,Q9D1U0,NP_084298.1,
Matrisome-associated,ECM-affiliated Proteins,Hpx,hemopexin,Hpxn|hx,MGI:105112,MGI:105112,Q91X72,NP_059067.2,
Matrisome-associated,ECM-affiliated Proteins,Itln1,intelectin 1 (galactofuranose binding),IntL|Itln|Itln2|Itlna|Lfr|MGC183671|mLfR,MGI:1333831,MGI:1333831,B2RWY7:B9EK97:D9J349:F6YSS8:O88310,NP_034714.1:NP_034714.1,
Matrisome-associated,ECM-affiliated Proteins,Itlnb,intelectin b,Itln1b|Itln2,MGI:3057189,MGI:3057189,B7ZNQ5:D9J347:Q80ZA0,NP_001007553.1:NP_001007553.1,
Matrisome-associated,ECM-affiliated Proteins,Lgals1,"lectin, galactose binding, soluble 1",AA410090|Gal-1|Galbp|L-14.5|L14|Lect14|galectin-1,MGI:96777,MGI:96777,P16045,NP_032521.1,Galectin
Matrisome-associated,ECM-affiliated Proteins,Lgals12,"lectin, galactose binding, soluble 12",AW987437|Grip1,MGI:1929094,MGI:1929094,Q8C3K0:Q91VD1,NP_062389.1:XP_006527282.1,Galectin
Matrisome-associated,ECM-affiliated Proteins,Lgals2,"lectin, galactose-binding, soluble 2",2200008F12Rik|AI324147,MGI:895068,MGI:895068,Q8K1I1:Q9CQW5,NP_079898.2,Galectin
Matrisome-associated,ECM-affiliated Proteins,Lgals3,"lectin, galactose binding, soluble 3",GBP|L-34|Mac-2|gal3,MGI:96778,MGI:96778,D3YVT4:D3YZJ2:P16110:Q3V471:Q61357:Q8C253,NP_001139425.1:NP_034835.1,Galectin
Matrisome-associated,ECM-affiliated Proteins,Lgals4,"lectin, galactose binding, soluble 4",galectin-4,MGI:107536,MGI:107536,A5XZ78:A5XZ79:Q3UL35:Q52LA0:Q8K419,NP_034836.1:NP_034836.1,Galectin
Matrisome-associated,ECM-affiliated Proteins,Lgals6,"lectin, galactose binding, soluble 6",galectin-6,MGI:107535,MGI:107535,A5XZ82:O54891,NP_034837.1,Galectin
Matrisome-associated,ECM-affiliated Proteins,Lgals7,"lectin, galactose binding, soluble 7",Galectin-7|MGC151215|MGC151217,MGI:1316742,MGI:1316742,D3Z141:O54974:Q99ML7:Q9CRB1:Q9D7K4,NP_032522.2:XP_006539632.1,Galectin
Matrisome-associated,ECM-affiliated Proteins,Lgals8,"lectin, galactose binding, soluble 8",1200015E08Rik|AI326142|D13Ertd524e|Lgals-8,MGI:1928481,MGI:1928481,A8DIL0:Q3U2W5:Q542M5:Q8C6H0:Q9JL15,NP_001277984.1:NP_001277989.1:XP_006516775.1:NP_001185972.1:NP_001277984.1:NP_001277986.1:NP_001277989.1:NP_061374.1:XP_006516777.1:XP_006516778.1:NP_001277984.1:NP_001277986.1:NP_001277989.1:NP_001185972.1:NP_061374.1:XP_006516777.1:XP_006516778.1,Galectin
Matrisome-associated,ECM-affiliated Proteins,Lgals9,"lectin, galactose binding, soluble 9",AA407335|AI194909|AI265545|LGALS35|Lgals5|gal-9|ga,MGI:109496,MGI:109496,B1AQR8:G3X9T7:O08573:Q99L83,NP_034838.2:NP_001152773.1:NP_034838.2,Galectin
Matrisome-associated,ECM-affiliated Proteins,Lgalsl,RIKEN cDNA 1110067D22 gene,A530071M23|Grpa|Hspc159|1110067D22Rik,MGI:1916114,MGI:1916114,Q8VED9,NP_776113.1,
Matrisome-associated,ECM-affiliated Proteins,Lman1,"lectin, mannose-binding, 1",P58|MR60|gp58|F5F8D|MCFD1|ERGIC53|AI326273|AU04378,MGI:1917611,MGI:1917611,D3Z5B9:Q3U944:Q9D0F3,NP_001165533.1:NP_081676.1,
Matrisome-associated,ECM-affiliated Proteins,Lman1l,"lectin, mannose-binding 1 like",slamp,,,,,
Matrisome-associated,ECM-affiliated Proteins,Mbl1,mannose-binding lectin (protein A) 1,MBL-A|MBP-A|S-MBP,MGI:96923,MGI:96923,P39039,NP_034905.1:XP_006518732.1:XP_006518733.1,
Matrisome-associated,ECM-affiliated Proteins,Mbl2,mannose-binding lectin (protein C) 2,L-MBP|MBL|MBL-C|MBP-C,MGI:96924,MGI:96924,P41317:Q3UEK1,NP_034906.1:XP_006526793.1:NP_034906.1:XP_006526793.1,
Matrisome-associated,ECM-affiliated Proteins,Muc1,"mucin 1, transmembrane",CD227|EMA|Muc-1,MGI:97231,MGI:97231,Q02496:Q99K60,NP_038633.1,Mucin
Matrisome-associated,ECM-affiliated Proteins,Muc13,"mucin 13, epithelial transmembrane",114/A10|14/A10|AI159736|Lrrp|Ly64|NJ-1,MGI:103190,MGI:103190,P19467:Q3V1S6,NP_034869.1:NP_034869.1,Mucin
Matrisome-associated,ECM-affiliated Proteins,Muc15,mucin 15,4732460E09|D730046L02Rik,MGI:2442110,MGI:2442110,A2AHK7:Q0VEM9:Q14AL4:Q505K5:Q8C6Z1,NP_001277715.1:NP_766567.1:NP_001277715.1:NP_766567.1,Mucin
Matrisome-associated,ECM-affiliated Proteins,Muc16,mucin 16,1110008I14Rik|Ca125|Gm1480,MGI:1920982,MGI:1920982,Q9D1H1,XP_006510787,Mucin
Matrisome-associated,ECM-affiliated Proteins,Muc19,mucin 19,-,MGI:2676278,MGI:2676278,A4QMU5:D7RV98:D7RV99:D7RVA0:D7RVA1:E0CXL6:F6YXH5:J3QM93:J3QMB2:J3QMV7:Q6PZE0,NP_997126.2,Mucin
