division,category,Gene Symbol,Gene Name,geneid,Ensembl IDs,UniProt IDs,Human Orthologue,Mouse Orthologue,Dr Matrisome,combined_orthology
Core matrisome,ECM Glycoproteins,nid2a,nidogen 2a (osteonidogen),ZDB-GENE-030827-2,ENSDARG00000075707,E7F6D3:X1WE42:X1WFV5:X1WC52:X1WGQ8:X1WGD8:X1WBC5:X1WDU8,NID2,Nid2,Yes,NID2
Core matrisome,ECM Glycoproteins,nid2b,nidogen 2b (osteonidogen),ZDB-GENE-040724-143,ENSDARG00000009471,Q5RI93:F1Q9A6:Q1LUH0:R4GER5:Q1LUG9,NID2,Nid2,Yes,NID2
Core matrisome,ECM Glycoproteins,npnt,nephronectin,ZDB-GENE-090312-201,ENSDARG00000018721,A0A0R4IGU5:B8A5G4:H2DL87:B8A5G5:H2DL88,NPNT,Npnt,Yes,NPNT
Core matrisome,ECM Glycoproteins,ntn1a,netrin 1a,ZDB-GENE-990415-169,ENSDARG00000105112,A0A0R4IN40:O13128:O42140:A0A0B5JPZ7:Q29RD2,NTN1,Ntn1,Yes,NTN1
Core matrisome,ECM Glycoproteins,ntn1b,netrin 1b,ZDB-GENE-990415-168,ENSDARG00000022531,O42203:B0CM04:B3DJ84:A0A0B5JK74:F1QUK5,NTN1,Ntn1,Yes,NTN1
Core matrisome,ECM Glycoproteins,ntn4,netrin 4,ZDB-GENE-050310-1,ENSDARG00000102066,A0A0R4IRG7:A0A0B5JSB7:A0A0R4IFE9:Q32SK8:A0A0R4IHS1:B3DJR9,NTN4,Ntn4,Yes,NTN4
Core matrisome,ECM Glycoproteins,ntn5,netrin 5,ZDB-GENE-130530-593,ENSDARG00000036422,E7F9C0,NTN5,Ntn5,Yes,NTN5
Core matrisome,ECM Glycoproteins,ntng1a,netrin g1a,ZDB-GENE-091118-13,ENSDARG00000014973,F1QQK8:F1R4Y3,NTNG1,Ntng1,Yes,NTNG1
Core matrisome,ECM Glycoproteins,ntng1b,netrin g1b,ZDB-GENE-070912-250, -, -,NTNG1,Ntng1,Yes,NTNG1
Core matrisome,ECM Glycoproteins,ntng2a,netrin g2a,ZDB-GENE-081105-186,ENSDARG00000077367,F1R638:F1QB17:B0UX66,NTNG2,Ntng2,Yes,NTNG2
Core matrisome,ECM Glycoproteins,ntng2b,netrin g2b,ZDB-GENE-110502-1,ENSDARG00000087100,I3IT80,NTNG2,Ntng2,Yes,NTNG2
Core matrisome,ECM Glycoproteins,oit3,oncoprotein induced transcript 3,ZDB-GENE-130530-907,ENSDARG00000087227,A0A0R4IWX7:E7F465,OIT3,Oit3,Yes,OIT3
Core matrisome,ECM Glycoproteins,otog,otogelin,ZDB-GENE-120228-1,ENSDARG00000068460,F1Q7R5,OTOG,Otog,Yes,OTOG
Core matrisome,ECM Glycoproteins,otol1a,otolin 1a,ZDB-GENE-050707-1,ENSDARG00000001771,A5PN28,OTOL1,Otol1,Yes,OTOL1
Core matrisome,ECM Glycoproteins,otol1b,otolin 1b,ZDB-GENE-080416-3,ENSDARG00000058960,E7FAJ7,OTOL1,Otol1,Yes,OTOL1
Core matrisome,ECM Glycoproteins,paplna,"papilin a, proteoglycan-like sulfated glycoprotein",ZDB-GENE-070815-4,ENSDARG00000027867,X1WDH5:E7F419:X1WHI6,PAPLN,Papln,Yes,PAPLN
Core matrisome,ECM Glycoproteins,paplnb,"papilin b, proteoglycan-like sulfated ",ZDB-GENE-030131-6023,ENSDARG00000042186,Q5SP98:F1QRA8:Q503V4,PAPLN,Papln,Yes,PAPLN
Core matrisome,ECM Glycoproteins,pcolce2a,procollagen C-endopeptidase enhancer 2a,ZDB-GENE-070705-25,ENSDARG00000008450,X1WD58:F1RAB9,PCOLCE2,Pcolce2,Yes,PCOLCE2
Core matrisome,ECM Glycoproteins,pcolce2b,procollagen C-endopeptidase enhancer 2b,ZDB-GENE-040426-1177,ENSDARG00000055575,F1R774:Q7SY25,PCOLCE2,Pcolce2,Yes,PCOLCE2
Core matrisome,ECM Glycoproteins,pcolcea,procollagen C-endopeptidase enhancer a,ZDB-GENE-041014-370,ENSDARG00000056913,Q7SZZ3:F1QUX0:Q1ECX8:Q501Y5,PCOLCE,Pcolce,Yes,PCOLCE
Core matrisome,ECM Glycoproteins,pcolceb,procollagen C-endopeptidase enhancer b,ZDB-GENE-080722-44,ENSDARG00000052057,B3DJG2,PCOLCE,Pcolce,Yes,PCOLCE
Core matrisome,ECM Glycoproteins,postna,"periostin, osteoblast specific factor a",ZDB-GENE-091113-23,ENSDARG00000043806,E9QIF5:E7F5I3:F1QM50,POSTN,Postn,Yes,POSTN
Core matrisome,ECM Glycoproteins,postnb,"periostin, osteoblast specific factor b",ZDB-GENE-030131-9120,ENSDARG00000104267,A0A0R4INY2:A0A0R4IRR6:A0A0R4IE42:A0JMK0:A0A0R4IPF4:A0A0J9YJH5:A0A0R4IS83:Q75U66,POSTN,Postn,Yes,POSTN
Core matrisome,ECM Glycoproteins,pxdn,peroxidasin,ZDB-GENE-140415-2,ENSDARG00000098733,A0A0G2KHM6,PXDN,Pxdn,Yes,PXDN
Core matrisome,ECM Glycoproteins,reln,reelin,ZDB-GENE-020822-1,ENSDARG00000098969,G1BJ50:Q8AXK7,RELN,Reln,Yes,RELN
Core matrisome,ECM Glycoproteins,relnl,"reelin, like",ZDB-GENE-040427-1, -,Q8AYT0,RELN,Reln,Yes,RELN
Core matrisome,ECM Glycoproteins,rspo1,R-spondin 1,ZDB-GENE-040718-44,ENSDARG00000104340,A8KBP5:Q6DHR0:M5AP50,RSPO1,Rspo1,Yes,RSPO1
Core matrisome,ECM Glycoproteins,rspo2,R-spondin 2,ZDB-GENE-060503-667,ENSDARG00000079570,F1QG95,RSPO2,Rspo2,Yes,RSPO2
Core matrisome,ECM Glycoproteins,rspo3,R-spondin 3,ZDB-GENE-030131-9814,ENSDARG00000070081,M5AN53:Q5R328:F1R6D4,RSPO3,Rspo3,Yes,RSPO3
Core matrisome,ECM Glycoproteins,rspo4,R-spondin 4,ZDB-GENE-110103-2,ENSDARG00000038593,F8W4P8:M5AN99,RSPO4,Rspo4,Yes,RSPO4
Core matrisome,ECM Glycoproteins,sbspon,somatomedin B and thrombospondin type 1 domain containing, -,ENSDARG00000104507,A0A0G2KRV3,SBSPON,-,Yes,SBSPON
Core matrisome,ECM Glycoproteins,si:dkey-266m15.6,si:dkey-266m15.6,ZDB-GENE-070705-443,ENSDARG00000078508,F1R489:F1Q752:A5WVI8:F1R5R6,KCP,Kcp,Yes,KCP
Core matrisome,ECM Glycoproteins,slit1a,slit homolog 1a (Drosophila),ZDB-GENE-030722-3,ENSDARG00000044954,B3DJM7:B8A498:Q3S2J2,SLIT1,Slit1,Yes,SLIT1
Core matrisome,ECM Glycoproteins,slit1b,slit homolog 1b (Drosophila),ZDB-GENE-030722-4,ENSDARG00000099446,A0A0R4IU60:B0CM06:B3DJQ5:A0A0R4IAZ7:A0A0R4IFC7:Q3Y6S4,SLIT1,Slit1,Yes,SLIT1
Core matrisome,ECM Glycoproteins,slit2,slit homolog 2 (Drosophila),ZDB-GENE-010306-3,ENSDARG00000004246,F1QQE4:Q9DE36:A0A0R4IFT2,SLIT2,Slit2,Yes,SLIT2
Core matrisome,ECM Glycoproteins,slit3,slit homolog 3 (Drosophila),ZDB-GENE-010306-4,ENSDARG00000034268,Q567L5:A4QNR7:Q9DE37:F1RCV3:F1QIA2,SLIT3,Slit3,Yes,SLIT3
Core matrisome,ECM Glycoproteins,smoc1,SPARC related modular calcium binding 1,ZDB-GENE-110310-7,ENSDARG00000088255,E7EDQ9:E7FH22,SMOC1,Smoc1,Yes,SMOC1
Core matrisome,ECM Glycoproteins,smoc2,SPARC related modular calcium binding 2,ZDB-GENE-021031-5,ENSDARG00000054766,G9LQV9:A0A0R4IDK4:E7FET3:Q567B8:G9LQV9:A0A0R4IDK4:E7FET3:Q567B8,SMOC2,Smoc2,Yes,SMOC2
Core matrisome,ECM Glycoproteins,sned1,"sushi, nidogen and EGF-like domains 1",ZDB-GENE-100913-1,ENSDARG00000044433,E7F2S5,SNED1,Sned1,Yes,SNED1
Core matrisome,ECM Glycoproteins,sparc,"secreted protein, acidic, cysteine-rich (osteonectin)",ZDB-GENE-030131-9,ENSDARG00000019353,E9QCC2:E9QJC0:E9QJA9:A0A0B5JPZ8:Q6PVV8:Q6IQH0,SPARC,Sparc,Yes,SPARC
Core matrisome,ECM Glycoproteins,sparcl1,SPARC-like 1,ZDB-GENE-060130-6,ENSDARG00000074989,Q6PVV6:B3DJ32:A0A0R4IIF9:A0A0R4IU92,SPARCL1,Sparcl1,Yes,SPARCL1
Core matrisome,ECM Glycoproteins,spon1a,spondin 1a,ZDB-GENE-000427-9,ENSDARG00000010029,A0A0B5JSE7:O42113:Q1LUZ8,SPON1,Spon1,Yes,SPON1
Core matrisome,ECM Glycoproteins,spon1b,spondin 1b,ZDB-GENE-000427-10,ENSDARG00000023694,A2BFS0:A0A0B5JWB5:B3DH64:F1R2Z9:O42114,SPON1,Spon1,Yes,SPON1
Core matrisome,ECM Glycoproteins,spon2a,"spondin 2a, extracellular matrix protein",ZDB-GENE-990415-160,ENSDARG00000025465,A0A0B5JW36:B3DGW3:O42111,SPON2,Spon2,Yes,SPON2
Core matrisome,ECM Glycoproteins,spon2b,"spondin 2b, extracellular matrix protein",ZDB-GENE-990415-161,ENSDARG00000002732,F6NH70:Q0V935:Q6DC15:O42112:F1QA83,SPON2,Spon2,Yes,SPON2
Core matrisome,ECM Glycoproteins,spp1,secreted phosphoprotein 1,ZDB-GENE-050706-97,ENSDARG00000044276,Q6IVB9:A0A0R4I9J4:Q4KMF5:A1KXD6:F1Q9F4,SPP1,Spp1,Yes,SPP1
Core matrisome,ECM Glycoproteins,srpx,"sushi-repeat containing protein, X-linked",ZDB-GENE-050327-43,ENSDARG00000010318,B2GT17:Q58ED3,SRPX,Srpx,Yes,SRPX
Core matrisome,ECM Glycoproteins,srpx2,"sushi-repeat containing protein, X-linked 2",ZDB-GENE-110411-231,ENSDARG00000034559,E7F8X0,SRPX2,Srpx2,Yes,SRPX2
Core matrisome,ECM Glycoproteins,svep1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",ZDB-GENE-110726-1,ENSDARG00000013526,F1QMD7,SVEP1,Svep1,Yes,SVEP1
Core matrisome,ECM Glycoproteins,tecta,tectorin alpha,ZDB-GENE-110411-120,ENSDARG00000059558,F8W4F4:F1QK57,TECTA,Tecta,Yes,TECTA
Core matrisome,ECM Glycoproteins,tectb,tectorin beta,ZDB-GENE-041212-16,ENSDARG00000045268,Q5PR99,TECTB,Tectb,Yes,TECTB
Core matrisome,ECM Glycoproteins,tgfbi,"transforming growth factor, beta-induced",ZDB-GENE-030131-73,ENSDARG00000071586,Q503K1:A0A0B5JSG0:Q7T1R2,TGFBI,Tgfbi,Yes,TGFBI
Core matrisome,ECM Glycoproteins,thbs1a,thrombospondin 1a,ZDB-GENE-120402-2,ENSDARG00000063430, -,THBS1,Thbs1,Yes,THBS1
Core matrisome,ECM Glycoproteins,thbs1b,thrombospondin 1b,ZDB-GENE-020708-1,ENSDARG00000010785,F1QEE7:F1QL35,THBS1,Thbs1,Yes,THBS1
Core matrisome,ECM Glycoproteins,thbs2a,thrombospondin 2a,ZDB-GENE-020708-2,ENSDARG00000060410,F1RAW4:F8W5Z7,THBS2,Thbs2,Yes,THBS2
Core matrisome,ECM Glycoproteins,thbs2b,thrombospondin 2b,ZDB-GENE-100623-1,ENSDARG00000073810,E7F1S4,THBS2,Thbs2,Yes,THBS2
Core matrisome,ECM Glycoproteins,thbs3a,thrombospondin 3a,ZDB-GENE-020708-3,ENSDARG00000077641,Q8JHW2:B2GSX1:F1QKL1,THBS3,Thbs3,Yes,THBS3
Core matrisome,ECM Glycoproteins,thbs3b,thrombospondin 3b,ZDB-GENE-060503-84,ENSDARG00000012060,A0A0R4IH11:Q1L8P7:B3DIU2,THBS3,Thbs3,Yes,THBS3
Core matrisome,ECM Glycoproteins,thbs4a,thrombospondin 4a,ZDB-GENE-080215-11,ENSDARG00000102777,A0A0R4ICP2:A0A0R4I9N1:A9ULT0:A0A0R4IBX2,THBS4,Thbs4,Yes,THBS4
Core matrisome,ECM Glycoproteins,thbs4b,thrombospondin 4b,ZDB-GENE-020708-4,ENSDARG00000020072,Q502R1:Q8JGW0:F1R1P9,THBS4,Thbs4,Yes,THBS4
Core matrisome,ECM Glycoproteins,tinagl1,tubulointerstitial nephritis antigen-like 1,ZDB-GENE-060503-240,ENSDARG00000061231,A3KNG7:Q1LUC6,TINAGL1,Tinagl1,Yes,TINAGL1
Core matrisome,ECM Glycoproteins,tnc,tenascin C,ZDB-GENE-980526-104,ENSDARG00000021948,B3DJP3:F1QYE2:A2BDW3:Q90484:A2BDW2:E9QHI1:Q4FAI8:F1R5T0,TNC,Tnc,Yes,TNC
Core matrisome,ECM Glycoproteins,tnfaip6,"tumor necrosis factor, alpha-induced protein 6",ZDB-GENE-060421-2654,ENSDARG00000093440,B0UY56:Q1RLU5:Q1MSY1,TNFAIP6,Tnfaip6,Yes,TNFAIP6
Core matrisome,ECM Glycoproteins,tnr,"tenascin R (restrictin, janusin)",ZDB-GENE-030804-1,ENSDARG00000020771,F1Q8J7:A2CF37:Q7T3T6,TNR,Tnr,Yes,TNR
Core matrisome,ECM Glycoproteins,tnw,tenascin W,ZDB-GENE-990415-262,ENSDARG00000024829,F1QSR3:A0A0R4ITL5:Q6IQW7:F1QUN5:B0S6K5:O57587:Q503B9:B0S6K6:A0A0B5JFC8,TNN,Tnn,Yes,TNN
Core matrisome,ECM Glycoproteins,tnxba,tenascin XBa,ZDB-GENE-070103-5,ENSDARG00000001760,E7EXE8,TNXB,Tnxb,Yes,TNXB
Core matrisome,ECM Glycoproteins,tsku,tsukushi small leucine rich proteoglycan homolog (Xenopus laevis),ZDB-GENE-030131-4683,ENSDARG00000040815,Q58A48:A8BB59:F1QUL3,TSKU,Tsku,Yes,TSKU
Core matrisome,ECM Glycoproteins,tspeara,thrombospondin-type laminin G domain and EAR repeats a,ZDB-GENE-120215-12,ENSDARG00000077580,A0A0R4IFE5:E7EY40,TSPEAR,Tspear,Yes,TSPEAR
Core matrisome,ECM Glycoproteins,tspearb,thrombospondin-type laminin G domain and EAR repeats b,ZDB-GENE-030131-4270,ENSDARG00000089235,E9QDQ6:E7F9F5,TSPEAR,Tspear,Yes,TSPEAR
Core matrisome,ECM Glycoproteins,txnbb,tenascin XBb,ZDB-GENE-141212-335,ENSDARG00000099581,A0A0J9YJG8,TNXB,Tnxb,Yes,TNXB
Core matrisome,ECM Glycoproteins,vtna,vitronectin a,ZDB-GENE-050522-440,ENSDARG00000055388,Q502F1:F1R4H1,VTN,Vtn,Yes,VTN
Core matrisome,ECM Glycoproteins,vtnb,vitronectin b,ZDB-GENE-041116-1,ENSDARG00000053831,Q7SXJ7:A7E2Q3:F1Q5D8,VTN,Vtn,Yes,VTN
Core matrisome,ECM Glycoproteins,vwa1,von Willebrand factor A domain containing 1,ZDB-GENE-030131-5921,ENSDARG00000075468,F1QSC1:E7FF10,VWA1,Vwa1,Yes,VWA1
Core matrisome,ECM Glycoproteins,vwa2,von Willebrand factor A domain containing 2,ZDB-GENE-100302-1,ENSDARG00000075441,D2DUP7:D2DUP9:D2DUP6:D2DUP8:U3JA51,VWA2,Vwa2,Yes,VWA2
Core matrisome,ECM Glycoproteins,vwa3a,von Willebrand factor A domain containing 3A,ZDB-GENE-131121-527,ENSDARG00000087210,E7F4X2:X1WDY9,VWA3A,Vwa3a,Yes,VWA3A
Core matrisome,ECM Glycoproteins,VWA5A (1 to many),si:ch1073-340j19.1, -,ENSDARG00000103131,A0A0R4IR47,VWA5A,AW551984,Yes,VWA5A
Core matrisome,ECM Glycoproteins,vwa5b1,von Willebrand factor A domain containing 5B1,ZDB-GENE-090313-299,ENSDARG00000059705,F1QL85:E7F348,VWA5B1,Vwa5b1,Yes,VWA5B1
Core matrisome,ECM Glycoproteins,vwa5b2,von Willebrand factor A domain containing 5B2,ZDB-GENE-070912-216,ENSDARG00000075886,E7FFP3:A0A0R4IHR3:F1QW54,VWA5B2,Vwa5b2,Yes,VWA5B2
Core matrisome,ECM Glycoproteins,vwa7,von Willebrand factor A domain containing 7,ZDB-GENE-060503-234,ENSDARG00000061462,F1QPQ5:Q1L860,VWA7,Vwa7,Yes,VWA7
Core matrisome,ECM Glycoproteins,vwa9,von Willebrand factor A domain containing 9,ZDB-GENE-030131-5804,ENSDARG00000041429,Q7ZUK5:Q1LWK5,VWA9,Vwa9,Yes,VWA9
Core matrisome,ECM Glycoproteins,vwde,von Willebrand factor D and EGF domains,ZDB-GENE-060929-1226,ENSDARG00000103443,A0A0R4IVA1:A0A0R4IFV2:Q08CG4:A0A0B5JK95,VWDE,Vwde,Yes,VWDE
Core matrisome,ECM Glycoproteins,vwf,von Willebrand factor,ZDB-GENE-070103-1,ENSDARG00000077231,F1QHS6:E7F9Z1:F1R1J2:F5XVB3,VWF,Vwf,Yes,VWF
Core matrisome,ECM Glycoproteins,wisp1a,WNT1 inducible signaling pathway protein 1a,ZDB-GENE-070705-178,ENSDARG00000054331,F1Q9P9:F1QYF3:D0E2W1,WISP1,Wisp1,Yes,WISP1
Core matrisome,ECM Glycoproteins,wisp1b,WNT1 inducible signaling pathway protein 1b,ZDB-GENE-080220-16,ENSDARG00000076685,A8WG98:F1R8E6:D0E2W0,WISP1,Wisp1,Yes,WISP1
Core matrisome,ECM Glycoproteins,wisp2,WNT1 inducible signaling pathway protein 2,ZDB-GENE-060223-1,ENSDARG00000077882,D0E2V9:F1QVF9:F1QG76:F1R5C1,WISP2,Wisp2,Yes,WISP2
Core matrisome,ECM Glycoproteins,wisp3,WNT1 inducible signaling pathway protein 3,ZDB-GENE-041001-86,ENSDARG00000071048,D0E2W2,WISP3,Wisp3,Yes,WISP3
Core matrisome,ECM Glycoproteins,zp2.1,"zona pellucida glycoprotein 2, tandem duplicate 1",ZDB-GENE-991129-5,ENSDARG00000086352,F1R003:Q05AP6:Q9PWC8:A8E4Y9:O93292,ZP2,Zp2,Yes,ZP2
Core matrisome,ECM Glycoproteins,zp2.2,"zona pellucida glycoprotein 2, tandem duplicate 2",ZDB-GENE-010622-1,ENSDARG00000105346,Q98SS0:Q98SS3:A1L138:A8KBT7,ZP2,Zp2,Yes,ZP2
Core matrisome,ECM Glycoproteins,zp2.3,"zona pellucida glycoprotein 2, tandem duplicate 3",ZDB-GENE-010622-2,ENSDARG00000090237,A0JMC4:A7MC71:Q98SS2:F1QMZ0:A8E584:A0A0N4SU24,ZP2,Zp2,Yes,ZP2
Core matrisome,ECM Glycoproteins,zp2.4,"zona pellucida glycoprotein 2, tandem duplicate 4",ZDB-GENE-010622-3, -,Q98SS1,ZP2,Zp2,Yes,ZP2
Core matrisome,ECM Glycoproteins,zp2.5,"zona pellucida glycoprotein 2, tandem duplicate 5",ZDB-GENE-090306-1,ENSDARG00000086522,F1QUS3:Q4QRF1,ZP2,Zp2,Yes,ZP2
Core matrisome,ECM Glycoproteins,zp2.6,"zona pellucida glycoprotein 2, tandem duplicate 6",ZDB-GENE-090306-2,ENSDARG00000091409,Q98SS1:Q567L3:Q502R0,ZP2,Zp2,Yes,ZP2
Core matrisome,ECM Glycoproteins,zp3, -,ZDB-ALT-060110-2, -,Q6NW70:Q2PZQ8:Q9PWC7,ZP3,Zp3,Yes,ZP3
Core matrisome,ECM Glycoproteins,zp3.1,"zona pellucida glycoprotein 3, tandem duplicate 1",ZDB-GENE-060817-1, -,Q2PZQ9,ZP3,Zp3,Yes,ZP3
Core matrisome,ECM Glycoproteins,zp3.2,"zona pellucida glycoprotein 3, tandem duplicate 2",ZDB-GENE-050626-121,ENSDARG00000090768,Q4QRF0:Q2PZQ7:Q2PZQ8,ZP3,Zp3,Yes,ZP3
Core matrisome,ECM Glycoproteins,zp3.2,"zona pellucida glycoprotein 3, tandem duplicate 2",ZDB-GENE-050626-121,ENSDARG00000090768,Q2PZQ7:Q4QRF0,ZP3,Zp3,Yes,ZP3
Core matrisome,ECM Glycoproteins,zp3.3,"zona pellucida glycoprotein 3, tandem duplicate 3",ZDB-GENE-060817-2, -,Q2PZQ7,ZP3,Zp3,Yes,ZP3
Core matrisome,ECM Glycoproteins,zp3.4,"zona pellucida glycoprotein 3, tandem duplicate 4",ZDB-GENE-060817-3, -, -,ZP3,Zp3,Yes,ZP3
Core matrisome,ECM Glycoproteins,zp3.5,"zona pellucida glycoprotein 3, tandem duplicate 5",ZDB-GENE-060817-4, -, -,ZP3,Zp3,Yes,ZP3
Core matrisome,ECM Glycoproteins,zp3b,zona pellucida glycoprotein 3b,ZDB-GENE-031124-2,ENSDARG00000039828,F1QVW8:Q6NW78:O12989:B8JLB0:A7MBS3:F1QBG3,ZP3,Zp3,Yes,ZP3
Core matrisome,ECM Glycoproteins,zp3c,zona pellucida glycoprotein 3c,ZDB-GENE-060817-5,ENSDARG00000092919,B8A4S8,ZP3,Zp3,Yes,ZP3
Core matrisome,ECM Glycoproteins,zpld1a,zona pellucida-like domain containing 1a,ZDB-GENE-110411-81,ENSDARG00000061835,F8W328:A0A0R4ITH5:I3NS54:E7FE28,ZPLD1,Zpld1,Yes,ZPLD1
Core matrisome,ECM Glycoproteins,zpld1b,zona pellucida-like domain containing 1b,ZDB-GENE-121214-104,ENSDARG00000063372,F1QMQ8,ZPLD1,Zpld1,Yes,ZPLD1
Core matrisome,Collagens,col10a1a,"collagen, type X, alpha 1a",ZDB-GENE-030131-8373,ENSDARG00000054753,A1KXD7:A2RQR3:F1QXD5,COL10A1,Col10a1,Yes,COL10A1
Core matrisome,Collagens,col10a1b,"collagen, type X, alpha 1b",ZDB-GENE-030131-7079,ENSDARG00000101535,A0A0R4IAT5,COL10A1,Col10a1,Yes,COL10A1
Core matrisome,Collagens,col11a1a,"collagen, type XI, alpha 1a",ZDB-GENE-070209-167,ENSDARG00000026165,Q5BLG2:Q5BLF1:A2RUX5:D6MUD2:A0A0R4IUQ1:A0A0R4ILA4:F1QSJ2,COL11A1,Col11a1,Yes,COL11A1
Core matrisome,Collagens,col11a1b,"collagen, type XI, alpha 1b",ZDB-GENE-070912-607,ENSDARG00000009014,D6MUD3:A0A0R4ISK1,COL11A1,Col11a1,Yes,COL11A1
Core matrisome,Collagens,col11a2,"collagen, type XI, alpha 2",ZDB-GENE-000208-23,ENSDARG00000012422,F1R5X4:E7F7J8:Q8AW17:F6NLZ6:A0ZXN1:F1QBU0:Q9PTI5:A5PL43:I3ISS1:Q1LWX5:F1R4X4:D6MUD4:A0A0R4IDQ0,COL11A2,Col11a2,Yes,COL11A2
Core matrisome,Collagens,col12a1a,"collagen, type XII, alpha 1a",ZDB-GENE-090728-1,ENSDARG00000078322,X1WF98:B5DC62:X1WFI8,COL12A1,Col12a1,Yes,COL12A1
Core matrisome,Collagens,col12a1b,"collagen, type XII, alpha 1b",ZDB-GENE-120215-116,ENSDARG00000019601,I3IT32:I3ISL8:E7FG81,COL12A1,Col12a1,Yes,COL12A1
Core matrisome,Collagens,col13a1,"collagen, type XIII, alpha 1",ZDB-GENE-030131-1874,ENSDARG00000091398,F1QWK2:A0A0G2KI03,COL13A1,Col13a1,Yes,COL13A1
Core matrisome,Collagens,col14a1a,"collagen, type XIV, alpha 1a",ZDB-GENE-030131-9889,ENSDARG00000005762,E9QG40:B5DC61:F1R9Y1:E9QH60:F1QVG7:Q6NW57,COL14A1,Col14a1,Yes,COL14A1
Core matrisome,Collagens,col14a1b,"collagen, type XIV, alpha 1b",ZDB-GENE-030131-1985, -,F1RA14:A0A0R4IEC5:A0A0R4IF77:A0A0R4IP59:A0A0R4IS09,COL14A1,Col14a1,Yes,COL14A1
Core matrisome,Collagens,col15a1a,"collagen, type XV, alpha 1a",ZDB-GENE-080918-1, -,Q05H57:B5DE26,COL15A1,Col15a1,Yes,COL15A1
Core matrisome,Collagens,col15a1b,"collagen, type XV, alpha 1b",ZDB-GENE-070912-689,ENSDARG00000061848,,COL15A1,Col15a1,Yes,COL15A1
Core matrisome,Collagens,col16a1,"collagen, type XVI, alpha 1",ZDB-GENE-060503-351,ENSDARG00000009194,F1Q593:K7DYI0:F1R6B4:K7DYA5,COL16A1,Col16a1,Yes,COL16A1
Core matrisome,Collagens,col17a1a,"collagen, type XVII, alpha 1a",ZDB-GENE-090313-107,ENSDARG00000069415,B8A4S4:F1QIJ7:A0A0R4IDK1,COL17A1,Col17a1,Yes,COL17A1
Core matrisome,Collagens,col17a1b,"collagen, type XVII, alpha 1b",ZDB-GENE-030131-7145,ENSDARG00000079011,F1QTH6:F1R7W0:F1R619,COL17A1,Col17a1,Yes,COL17A1
Core matrisome,Collagens,col18a1,"collagen type XVIII, alpha 1",ZDB-GENE-030516-3,ENSDARG00000036558,Q2PBM7:Q4TZW4:Q2PBM8:B0S8G3:Q8AWC6:B0S8G4:Q2PBM9:B0S8G5:Q4TZW5,COL18A1,Col18a1,Yes,COL18A1
Core matrisome,Collagens,col19a1,"collagen, type XIX, alpha 1",ZDB-GENE-090312-196,ENSDARG00000096073,B8A4T5:F1Q5Q9:Q08BP6,COL19A1,Col19a1,Yes,COL19A1
Core matrisome,Collagens,col1a1a,"collagen, type I, alpha 1a",ZDB-GENE-030131-9102,ENSDARG00000012405,Q6P4U1:Q6U1J5:F1QSC5:F1QJC9:Q58P24:Q90YJ1:B1WB89,COL1A1,Col1a1,Yes,COL1A1
Core matrisome,Collagens,col1a1b,"collagen, type I, alpha 1b",ZDB-GENE-030131-4400,ENSDARG00000035809,Q90YI9:F1QDL1:Q6PEI9:Q6NZ15,COL1A1,Col1a1,Yes,COL1A1
Core matrisome,Collagens,col1a2,"collagen, type I, alpha 2",ZDB-GENE-030131-8415,ENSDARG00000020007,Q90YJ0:Q6IQX2:E9QCG6:A0A0R4IHC0,COL1A2,Col1a2,Yes,COL1A2
Core matrisome,Collagens,col21a1,"collagen, type XXI, alpha 1",ZDB-GENE-110607-3,ENSDARG00000025320,E7FB76,COL21A1,-,Yes,COL21A1
Core matrisome,Collagens,col22a1,"collagen, type XXII, alpha 1",ZDB-GENE-090827-2, -,M5BFV8,COL22A1,Col22a1,Yes,COL22A1
Core matrisome,Collagens,col23a1,"collagen, type XXIII, alpha 1", -,ENSDARG00000095339,A5WW97:A0A0R4IMT1,COL23A1,Col23a1,Yes,COL23A1
Core matrisome,Collagens,col24a1,collagen type XXIV alpha 1,ZDB-GENE-110411-128,ENSDARG00000095843,F8W3R5:F8W5B3,COL24A1,Col24a1,Yes,COL24A1
Core matrisome,Collagens,col25a1,"collagen, type XXV, alpha 1",ZDB-GENE-130530-720,ENSDARG00000068218, -,COL25A1,Col25a1,Yes,COL25A1
Core matrisome,Collagens,col26a1,"collagen, type XXVI, alpha 1",ZDB-GENE-130530-864,ENSDARG00000079330,F1QXC5,COL26A1,Col26a1,Yes,COL26A1
Core matrisome,Collagens,col27a1a,"collagen, type XXVII, alpha 1a",ZDB-GENE-100119-1,ENSDARG00000101258,A0A0G2L8U5:C7DZK3,COL27A1,Col27a1,Yes,COL27A1
Core matrisome,Collagens,col27a1b,"collagen, type XXVII, alpha 1b",ZDB-GENE-100119-2,ENSDARG00000099930,A0A0R4IFJ5:A0A0R4IVX8:A0MSJ1,COL27A1,Col27a1,Yes,COL27A1
Core matrisome,Collagens,col28a1a,"collagen, type XXVIII, alpha 1a",ZDB-GENE-070705-84,ENSDARG00000077084 ,C0H5W1:C0H5W0,COL28A1,Col28a1,Yes,COL28A1
Core matrisome,Collagens,col28a1b,"collagen, type XXVIII, alpha 1b",ZDB-GENE-160503-1,ENSDARG00000087087,A0A060Q6E4,COL28A1,Col28a1,Yes,COL28A1
